"";"classe 1";"classe 2";"classe 3";"classe 4"
"acusar";-2,932;7,697;5,852;-8,019
"parlamentar";8,418;4,581;-2,869;-13,357
"depoimento";-16,313;0,594;74,308;-15,52
"rodrigo";0,211;2,042;3,153;-11,565
"neve";-5,852;-0,004;52,88;-14,076
"grande";-1,41;1,077;-7,142;7,397
"câmara";42,685;-3,507;-4,266;-12,998
"acontecer";1,261;-0,854;-5,13;2,668
"eduardo";-2,008;39,61;-0,321;-14,076
"unido";-16,313;-5,115;-10,199;87,568
"república";8,418;0,262;0;-13,357
"pagar";-3,413;47,928;-2,102;-9,457
"globo";-0,001;4,755;2,781;-11,923
"condenar";-9,531;-5,966;95,005;-9,112
"social";27,712;-2,717;-3,254;-7,034
"porcento";5,263;0,014;-5,307;-0,338
"homem";-0,083;-0,312;16,544;-7,746
"casa";0,589;2,347;-0,076;-4,045
"situação";0,05;-2,08;-0,588;3,128
"pmdb";0,105;18,752;-1,025;-11,923
"nome";-1,12;7,008;4,051;-9,43
"filho";0;15,26;-3,013;-4,195
"cidadão";0,47;1,744;-2,129;-0,455
"bem";5,79;-5,717;-0,246;0
"alegar";-11,705;-0,004;7,475;1,905
"mendes";-0,593;0,159;8,009;-4,155
"fato";-1,727;0,681;10,645;-4,924
"empresário";0,345;15,296;-0,958;-11,46
"acabar";1,592;-1,763;-2,31;1,419
"vir";0,962;-0,05;3,209;-6,065
"sírio";-18,597;-8,608;-5,307;90,016
"senado";17,393;-0,361;-2,428;-6,957
"referir";0,511;-1,404;1,379;-0,539
"relação";-3,223;1,03;-4,266;8,229
"precisar";12,863;-2,324;-0,18;-4,627
"oficial";-0,033;-1,248;-1,615;5,567
"mês";-7,113;10,482;8,094;-6,709
"atacar";-4,453;-4,249;-0,001;18,077
"pedido";-12,804;0,31;52,052;-8,988
"mostrar";0,82;-1,763;-2,31;2,505
"fachin";-16,135;-0,688;94,237;-11,923
"entrar";-0,076;-6,238;1,749;2,052
"corrupto";0,301;17,497;-2,31;-9,691
"confirmar";-15,035;3,385;9,469;-0,032
"batista";-5,309;78,25;-8,07;-9,691
"mundial";-4,877;-8,874;-7,835;58,685
"momento";0,402;-3,507;1,858;-0,032
"enviar";-7,589;-5,98;-0,171;31,896
"cargo";6,944;-0,02;0,361;-10,852
"segurança";0,943;-4,01;-3,217;5,648
"jornal";-0,58;-0,159;1,491;0,014
"donald";-16,705;-9,141;-8,07;96,047
"diverso";-4,453;2,042;-0,241;2,052
"ameaça";-12,25;-4,01;-5,08;59,169
"tomar";0,015;-7,812;0,488;3,33
"relator";-3,759;-1,986;42,384;-5,552
"próprio";-4,453;2,042;0,173;0,393
"processo";-2,861;-3,303;57,159;-10,14
"pgr";-6,137;5,298;20,207;-11,565
"paulo";23,653;-1,413;-0,891;-11,565
"jon_un";-19,747;-9,141;-8,07;103,871
"criminoso";-0,77;21,223;0,058;-12,281
"colocar";14,217;-8,077;-7,131;0,738
"mpf";-5,675;14,105;7,884;-11,208
"josé";0,682;-0,1;9,831;-11,565
"janot";-0,003;4,801;0,581;-6,957
"defender";0,211;-6,238;4,968;-0,032
"decidir";-0,001;-2,853;18,901;-5,118
"realizar";-1,599;-5,98;-0,763;19,545
"questão";-3,039;-0,566;3,153;1,06
"projeto";12,149;0,005;-2,216;-6,605
"investigação";-4,774;24,774;0,488;-7,939
"foro";-0,335;-0,869;15,046;-3,806
"fonte";-4,453;0,014;3,153;0,393
"deixar";0,795;-0,003;-4,628;0,962
"crise";25,175;-4,699;-6,197;-1,671
"cercar";-9,781;8,236;-1,778;3,872
"perder";-0,269;-0,021;1,266;-0,087
"nacional";0,39;2,517;-5,499;-0,004
"ler";6,06;-5,98;0,935;-1,699
"decisão";-2,005;-5,465;47,237;-5,739
"época";-2,494;33,812;-1,127;-7,244
"voltar";6,944;-2,227;-3,013;0,001
"valor";-9,253;86,585;-4,854;-10,852
"real";-6,603;24,774;-4,628;0,019
"ocorrer";-2,861;0,002;0,1;2,36
"mandar";1,111;0,003;0,698;-3,805
"gilmar";0,085;-0,668;6,667;-3,458
"dono";-1,49;24,541;-0,1;-8,721
"discurso";49,641;-7,812;-6,897;-7,939
"sistema";-11,049;-0,3;-0,698;23,963
"local";0,168;-7,283;0,17;2,805
"levar";-0,269;2,064;0,1;-1,079
"joão";0,214;-4,193;23,81;-8,721
"japão";-12,735;-7,283;-6,43;75,005
"destruir";-0,614;-3,072;-0,325;8,908
"carne";-5,169;70,988;-6,197;-9,43
"brasília";4,007;-1,638;3,558;-7,244
"bom";27,652;-2,618;-5,964;-4,439
"atingir";-15,733;-1,638;-1,127;41,958
"tse";0,042;1,19;0,008;-1,724
"relatar";-2,95;8,635;-1,293;0,033
"petrobras";-7,175;36,215;0,262;-9,43
"partido";4,761;1,447;-0,978;-6,897
"meio";-0,149;0,375;-2,412;1,533
"lei";3,32;0,266;-0,158;-4,503
"jong_un";-16,876;-7,812;-6,897;88,773
"exército";-2,316;-6,228;-3,294;31,206
"achar";14,919;-3,691;-0,45;-3,492
"vida";3,158;-2,843;2,287;-3,018
"revelar";-8,968;3,297;-0,163;3,876
"prometer";-9,51;-0,058;-0,978;20,121
"manter";-11,61;-0,406;13,491;1,13
"líder";-0,64;-2,395;-3,514;15,776
"imprensa";0,943;-3,442;4,765;-1,671
"ditador";-15,733;-4,954;-4,18;67,633
"direito";0,429;-0,788;7,458;-5,41
"destacar";0,025;-4,699;1,024;0,864
"conseguir";3,831;0,697;-2,025;-2,736
"comprar";0,78;15,631;-3,514;-8,721
"citar";0,214;3,815;-0,698;-2,459
"sofrer";4,448;-3,691;-0,017;-0,181
"friboi";-0,921;41,169;-5,267;-8,014
"curitiba";1,519;-0,773;6,642;-8,014
"claro";3,831;-1,271;-3,735;0,372
"vinson";-14,023;-6,491;-5,731;73,762
"maia";20,741;-2,223;-1,798;-5,903
"lançar";-5,665;-3,941;-5,499;42,619
"entrevista";1,882;0,057;-2,217;-0,163
"entregar";-7,893;13,16;5,885;-5,864
"encontrar";-0,486;-0,154;5,063;-0,76
"delator";-9,374;31,381;1,158;-7,661
"carl";-14,023;-6,491;-5,731;73,762
"agir";3,487;-0,066;-1,293;-0,642
"usado";-0,921;-0,773;0,909;1,035
"rousseff";0,517;0,697;2,672;-9,075
"responder";3,831;-1,271;-3,735;0,372
"possuir";-2,95;-1,749;1,158;4,619
"navio";-11,186;-5,178;-2,428;51,198
"lançamento";-14,023;-6,491;-5,731;73,762
"incluir";-4,706;5,32;-5,964;5,864
"imagem";-0,007;-5,965;-0,45;8,653
"demonstrar";0,517;-2,618;0,011;0,372
"capital";-0,44;-2,176;-1,651;10,439
"bomba";-2,149;-0,361;-4,572;16,506
"ameaçar";-2,316;-2,176;-0,569;13,705
"teste";-14,023;-6,491;-5,731;73,762
"químico";-2,541;-3,195;-4,803;28,587
"prova";-6,831;1,797;24,5;-7,661
"esperar";-0,007;-1,96;0,17;1,035
"edson";-14,023;-0,002;63,949;-8,721
"documento";-10,62;0,417;25,559;-2,288
"começar";3,657;-0,931;-1,651;-0,004
"balístico";-13,454;-6,228;-5,499;70,771
"uss";-11,752;-5,44;-4,803;61,817
"soltar";1,338;-0,023;1,454;-4,841
"resolver";-0,277;0,266;-2,428;2,207
"privilegiado";-2,367;0,019;14;-3,111
"principal";0,126;-0,128;-0,45;0,288
"premiar";-12,886;41,169;0,909;-8,014
"porta_aviões";-11,186;-5,178;-4,572;58,839
"península";-12,886;-5,965;-5,267;67,783
"favor";1,46;5,437;-1,594;-5,552
"esquema";-13,454;59,442;-0,05;-8,367
"costa";0,488;0,154;-1,122;-0,035
"conferir";19,065;-3,195;-2,642;-2,88
"campanha";-11,186;37,203;0,033;-4,503
"abrir";-1,611;-0,066;24,5;-7,661
"valer";-0,674;0,653;2,656;-1,671
"turma";0,488;-3,195;16,295;-7,309
"sr";1,519;7,665;-5,267;-3,492
"seguir";-0,048;-3,195;5,467;-0,035
"ricardo";-6,306;2,199;21,187;-7,309
"procurador";1,644;6,492;-2,006;-6,254
"possível";-2,541;0,879;-0,243;1,747
"nota";0,006;-0,624;2,656;-0,642
"noite";2,251;-0,785;-0,007;-0,568
"matéria";2,791;2,981;-3,075;-3,492
"investigar";-5,269;8,625;4,331;-4,167
"funcionário";-0,992;4,801;-4,572;0,942
"estatal";-2,541;0,879;-4,803;8,015
"entender";0,943;1,797;-0,341;-3,184
"denúncia";-0,007;10,822;-0,45;-5,522
"declaração";-0,277;1,154;-4,572;2,207
"cadeia";-1,611;5,789;4,765;-7,661
"atual";5,252;0,266;-4,572;-1,191
"aparecer";1,829;2,666;-2,428;-2,582
"trabalhar";19,065;-3,195;-4,803;-1,426
"site";7,636;-0,624;0,273;-7,661
"revista";3,487;5,789;-5,035;-5,181
"renan";17,206;-1,753;-1,393;-5,202
"problema";1,829;-1,343;-4,572;2,207
"prever";4,163;-2,705;-4,341;1,278
"notícia";-0,277;-1,343;-0,957;6,333
"mídia";-0,723;-1,149;-2,216;10,531
"mão";3,158;-0,963;-0,648;-0,108
"irmão";-8,265;30,704;0,581;-6,957
"família";0,171;0,266;1,801;-4,503
"exterior";-1,611;-0,066;-2,858;9,813
"empreiteiro";-3,289;16,664;0,794;-6,605
"conhecido";13,393;-1,749;-2,858;-1,671
"conflito";-8,819;-5,44;-2,642;47,006
"cair";6,361;-2,705;-0,798;-0,207
"bolsonaro";9,164;0,863;-3,879;-5,903
"base";-3,746;-2,949;-4,572;31,461
"banco";-2,149;24,828;-2,428;-2,582
"acreditar";-0,723;-0,249;-0,798;4,787
"único";-1,092;0,105;-0,508;2,191
"sp";-0,277;1,154;6,26;-6,957
"salário";2,251;2,354;-0,508;-5,903
"russo";-10,62;-4,916;-4,341;55,865
"ressaltar";-3,746;2,666;-0,158;0,942
"população";10,637;-2,463;-4,11;-0,108
"norte_americano";-4,213;-3,195;-4,803;34,221
"lourar";-11,186;7,56;17,995;-6,957
"lado";-0,277;-0,361;-0,957;4,005
"executivo";-3,746;30,704;-0,957;-4,503
"ex_ministro";-1,092;7,532;1,377;-5,903
"ex_deputado";-8,819;22,591;3,139;-7,309
"chefe";0,013;3,209;-0,089;-2,288
"aéreo";-4,759;-4,655;-4,11;38,277
"assunto";7,654;-0,154;-4,11;-0,76
"apresentar";-2,845;-0,963;22,036;-2,002
"acusação";0,058;-0,023;8,435;-7,309
"servir";2,429;-1,149;-0,089;-0,207
"produto";-2,001;29,694;-1,594;-5,552
"partir";-0,001;0,105;1,377;-1,723
"palocci";-9,491;20,79;3,247;-5,903
"palavra";5,095;-4,133;0,001;-0,396
"pai";-0,304;-0,323;0,084;0,76
"objectivo";1,46;-0,618;-0,378;-0,003
"norte_coreano";-11,186;-5,178;-4,572;58,839
"melhor";0,779;-1,343;3,694;-2,582
"impeachment";7,738;1,176;-3,649;-5,552
"ganhar";6,361;-0,249;0,088;-6,605
"existir";5,161;-0,963;-0,648;-0,76
"exercício";-3,289;-4,916;-0,798;23,339
"conta";-4,759;30,129;-0,038;-6,254
"chinês";-10,056;-4,655;-4,11;52,894
"capacidade";-1,092;-0,785;-3,879;13,798
"autoridade";-1,465;-2,833;2,368;2,295
"apoio";12,149;-4,916;-2,216;-0,207
"anunciar";-0,992;-1,343;0,033;4,005
"aliado";-3,289;-0,249;-4,341;18,511
"votar";16,564;-1,08;-2,73;-4,155
"tribunal";-3,394;0,324;15,046;-3,806
"supremo";-4,255;-0,785;18,629;-0,568
"sair";2,251;-0,079;-0,508;-0,568
"regime";-6,069;-4,133;0,001;20,708
"pyongyang";-10,056;-4,655;-4,11;52,894
"pronto";-6,614;-4,394;-0,508;29,054
"prefeito";18,071;-0,154;-4,11;-6,254
"pensar";5,161;-4,655;1,057;-2,002
"ordem";-3,759;-4,133;1,765;7,974
"negar";-1,42;-0,154;22,036;-6,254
"medida";-0,041;-2,463;-0,038;3,397
"marcelo";-2,414;20,79;-0,007;-5,903
"mandato";11,364;-1,524;-0,161;-4,853
"grave";-1,774;0,005;2,208;0,005
"fogo";-2,001;-0,618;-3,649;15,801
"fazenda";-0,527;19,98;-3,419;-2,845
"estratégia";-1,774;-0,249;0,088;2,753
"encontro";5,095;-0,618;0,463;-5,552
"eleitoral";0,085;0,574;0,895;-3,458
"dório";25,636;-4,394;-1,798;-5,903
"criar";1,644;0,038;-2,006;-0,108
"coreano";-10,62;-4,916;-4,341;55,865
"conversa";-3,273;-0,001;12,259;-1,193
"congresso";5,085;-0,103;-2,73;-0,505
"combate";-1,092;-2,223;-1,798;13,798
"citado";-0,486;13,871;-0,648;-3,833
"cidade";0,013;-0,249;0,794;-0,207
"alto";-6,069;2,918;0,001;1,204
"alerta";-4,255;-2,223;-1,798;23,345
"abril";-2,845;-0,963;-0,648;12,055
"tirar";18,968;-1,986;-1,594;-5,552
"território";-9,491;-2,223;-3,879;42,345
"sugerir";-1,092;-0,079;1,377;0,132
"rocha";-2,845;3,841;8,186;-6,254
"roberto";0,128;0,369;2,235;-5,202
"provável";-0,486;-4,655;-0,038;8,579
"plano";0,808;-1,753;-0,262;0,477
"pena";0,233;-0,079;5,907;-5,903
"parecer";9,164;-4,394;-3,879;0,132
"manhã";-2,414;-4,394;-1,798;23,345
"longo";-0,792;-1,986;0,001;5,055
"honesto";6,341;-2,223;1,377;-5,903
"história";-0,001;-0,785;0,297;0,132
"gente";7,738;-0,026;-0,378;-5,552
"folha";-2,001;-1,986;34,37;-5,552
"envolver";-3,273;6,444;-0,262;0,009
"econômico";1,46;-0,026;0,001;-1,452
"correr";2,856;-3,612;0,084;-0,128
"cometer";0,025;8,733;-0,378;-5,552
"comentar";2,856;-3,612;-0,161;0,066
"cara";18,968;-1,986;-3,649;-3,171
"autorizar";-7,162;3,841;0,174;0,573
"apontar";-0,527;6,444;0,025;-2,845
"apoiar";6,341;-2,223;-1,798;-0,038
"alertar";-7,162;-0,963;-0,038;16,12
"ajudar";-0,287;-0,785;0,297;0,85
"ajuda";-5,526;-0,001;-0,262;9,411
"agência";-7,162;-2,463;-2,006;31,854
"votação";14,768;-2,833;-0,642;-3,806
"sentença";-0,593;-3,092;25,718;-4,155
"responsável";-3,759;1,176;0,463;0,272
"representar";2,074;-1,753;-0,262;0,009
"questionar";0,467;-4,133;0,463;0,272
"programa";-0,304;-0,323;-3,189;7,381
"poderoso";-2,414;0,105;-3,879;9,96
"participar";0,467;-1,986;1,765;-0,396
"pagamento";-6,069;36,878;-0,378;-5,552
"mensagem";-2,001;-0,618;0,463;2,798
"mala";-7,803;7,632;9,355;-4,853
"julgar";-5,561;-2,574;44,509;-3,458
"henrique";12,006;-1,08;-0,82;-4,155
"general";0,324;-1,524;-3,189;4,418
"fossar";-0,034;0,369;0,682;-1,193
"especialista";-4,255;-4,394;-1,798;29,054
"eleição";5,064;2,046;-3,189;-4,853
"diário";7,9;0,01;-1,196;-4,853
"avião";-3,759;-1,986;-0,378;15,801
"assistir";29,206;-4,133;-3,649;-5,552
"amigo";7,738;-0,618;0,001;-5,552
"viver";2,611;-2,574;-2,273;1,097
"vender";0,324;11,757;-3,189;-4,853
"tv";2,536;-2,057;-1,816;0,599
"tratar";0,128;-0,463;0,682;-0,248
"tornar";1,901;-1,299;-0,081;-0,043
"proposta";3,794;1,743;-2,501;-3,806
"pegar";1,46;2,918;-0,378;-5,552
"número";-0,527;1,565;-0,262;0,009
"news";-5,526;-1,753;-1,393;23,528
"necessário";-0,527;-0,463;-1,393;6,118
"mudar";1,092;-1,08;0,347;-0,505
"minuto";9,394;-1,753;-3,419;-0,248
"maneira";7,738;-0,618;-3,649;-0,396
"listar";-0,896;25,81;-2,96;-4,504
"kcna";-8,928;-4,133;-3,649;46,963
"instituto";-0,896;-0,201;16,188;-4,504
"ilícito";-2,797;29,457;-1,196;-4,853
"funaro";-8,928;63,095;-3,649;-5,552
"final";2,856;-0,323;-0,161;-0,947
"encerrar";1,46;-4,133;-1,594;2,798
"diálogo";-3,273;-0,001;4,682;0,009
"disparar";-0,896;0,059;-2,96;5,493
"denunciar";-5,526;26,15;-0,262;-2,845
"considerar";-0,034;-0,463;2,235;-0,248
"conhecer";1,276;-0,323;0,084;-0,947
"comandar";-1,607;10,127;-3,419;0,009
"atenção";2,856;-0,323;-1,196;-0,128
"água";-4,986;-0,323;-3,189;20,809
"vivo";-1,89;6,535;0,347;-1,889
"significar";1,092;-1,08;-0,82;0,381
"seguinte";13,007;-1,753;-1,393;-2,845
"reunião";1,901;-1,299;-1,005;0,185
"reino";-8,365;-3,872;-3,419;44,002
"putin";-8,365;-3,872;-3,419;44,002
"professor";8,179;-1,08;-2,73;-0,505
"presente";1,276;-0,323;-1,196;0,066
"pec";12,712;-1,799;-1,588;-2,417
"ordenar";-5,526;-3,872;-1,393;29,646
"mantega";-1,465;12,767;0;-3,806
"lugar";3,807;-0,479;-2,044;-0,054
"km";-4,45;-3,352;-2,96;30,623
"início";-2,335;-1,299;-0,081;8,891
"investigado";-7,803;11,757;5,6;-4,853
"invadir";2,723;-3,092;-2,73;1,641
"gravação";-0,896;13,676;-0,081;-4,504
"futuro";18,368;-1,299;-2,96;-4,504
"financeiro";-4,45;25,81;-1,005;-2,203
"embaixador";-2,335;-3,352;-2,96;23,969
"direto";3,928;-1,753;-1,393;0,009
"contrato";-7,241;25,81;0,188;-4,504
"comando";-1,237;-3,612;-1,196;15,577
"classe";0,308;-2,315;0,086;0,285
"chamado";-0,134;0,059;-2,96;2,91
"causa";-1,237;-3,612;14,067;-0,128
"capaz";-0,527;-3,872;-3,419;18,116
"cabeça";-4,45;-0,201;16,188;-0,716
"alvo";-3,273;-0,463;0,025;6,118
"agricultura";-2,876;30,047;-2,273;-3,458
"admitir";-0,896;0,059;-1,005;2,91
"acompanhar";-2,876;0,574;0,895;0,103
"tropa";-4,986;-3,612;-3,189;33,543
"triplex";-2,797;0,01;19,738;-4,853
"suposto";-0,593;0,159;-0,82;1,641
"superior";0,468;-0,033;2,368;-3,806
"serra";-0,304;0,01;9,355;-4,853
"recurso";-7,241;9,042;6,695;-4,504
"parar";-0,593;0,159;-0,82;1,641
"organização";-4,45;9,042;1,326;-2,203
"oas";-4,45;13,676;1,326;-4,504
"negociar";-1,237;22,669;-3,189;-2,522
"médico";18,368;-3,352;-2,96;-2,203
"mouro";-3,919;-3,092;43,105;-4,155
"morrer";0,047;0,059;1,326;-2,203
"mercado";-0,335;18,697;-2,501;-3,806
"medo";-0,134;-3,352;6,695;-0,043
"mar";-7,803;-1,524;-3,189;33,543
"julgamento";-1,662;0,311;4,651;-1,033
"jinping";-7,241;-3,352;-2,96;38,091
"instância";-5,002;-2,315;40,035;-3,111
"indicar";-0,707;11,947;-2,044;-0,996
"gostar";11,203;-0,479;-2,044;-3,111
"global";-0,896;0,059;-2,96;5,493
"fronteira";-3,919;-3,092;-2,73;27,711
"foto";-0,02;-2,315;-2,044;8,018
"flagrar";-2,797;4,395;0,084;-0,128
"fiscal";-4,45;41,765;-2,96;-4,504
"evitar";-0,304;0,01;2,804;-0,947
"equipa";0;-0,323;0,084;0,066
"economia";6,46;-3,352;-1,005;-0,043
"detalhe";-1,237;16,769;-0,161;-4,853
"cúpula";-0,304;2,046;0,084;-0,947
"civil";-4,986;0,584;0,965;0,76
"caminho";0,324;0,584;-3,189;0,066
"avisar";-2,335;-1,299;6,695;0,185
"aprovar";0,042;1,19;-1,133;-0,082
"antagonista";3,842;-1,299;1,326;-4,504
"américa";-4,986;-1,524;-3,189;26,798
"áudio";0,003;4,29;0;-3,806
"voto";1,571;0,936;-0,322;-3,111
"sociedade";7,018;-2,315;0,086;-3,111
"seul";-6,681;-3,092;-2,73;35,141
"santana";-6,681;-0,103;33,853;-4,155
"réu";-2,876;-2,574;34,265;-3,458
"rápido";8,179;-1,08;-2,73;-0,505
"roubar";8,179;-0,103;-0,82;-4,155
"risco";-0,027;-1,08;-0,025;1,641
"resumir";-0,335;-0,869;9,603;-1,582
"resposta";-0,134;-3,352;-2,96;13,103
"respeito";5,19;-2,574;0,016;-1,283
"reforma";7,018;-0,479;-0,322;-3,111
"recado";5,19;-0,668;-2,273;-0,165
"proteger";-0,896;-1,299;-1,005;8,891
"preparar";-6,12;-0,033;-2,501;18,384
"policial";12,98;-0,668;-2,273;-3,458
"plenário";7,251;-1,026;-0,906;-1,379
"nação";-0,593;-1,08;-2,73;10,71
"moral";-1,89;-0,103;18,699;-4,155
"lutar";0,047;-3,352;0,188;1,14
"jogar";12,006;-1,08;-0,82;-4,155
"intenção";1,092;0,159;-0,025;-1,889
"instituição";3,807;-2,315;1,336;-3,111
"imposto";1,732;1,743;-0,642;-3,806
"importante";2,723;-1,08;-2,73;0,381
"geral";3,794;-0,033;0;-3,806
"fotógrafo";-1,393;-0,161;13,13;-2,417
"forma";1,901;-3,352;1,326;-0,716
"falso";-3,919;-1,08;12,796;-0,002
"especial";1,092;-0,103;-2,73;0,381
"dólar";-6,12;12,767;-0,642;0,017
"doação";0,085;9,731;-2,273;-3,458
"distância";-7,241;-3,352;-2,96;38,091
"deus";10,312;-2,833;-0,642;-1,582
"democracia";0,308;-2,315;8,293;-3,111
"dado";0,194;-0,103;4,339;-4,155
"conter";0,194;1,25;-2,73;-0,002
"conjunto";-7,241;-0,201;-2,96;23,969
"comunista";-3,919;0,159;-2,73;10,71
"certo";-0,896;-0,201;0,188;1,14
"candidato";0,194;10,728;-2,73;-4,155
"caixa";-6,681;15,956;1,785;-4,155
"boca";3,842;-0,201;0,188;-4,504
"bastar";1,092;-1,08;-0,025;-0,002
"aumentar";-2,335;-1,299;-2,96;18,129
"ato";-0,138;-0,668;6,667;-1,283
"apartamento";-0,335;4,29;0,576;-3,806
"venezuela";20,022;-2,833;-2,501;-3,806
"the";-2,367;-0,479;-2,044;12,942
"thaad";-5,002;-2,315;-2,044;26,31
"teori";-2,876;-2,574;34,265;-3,458
"temer";0,194;-1,08;-0,82;1,641
"super";-3,394;-0,869;0;8,417
"silva";3,807;0,019;-0,322;-3,111
"serviço";1,732;-0,033;-0,642;-0,319
"rua";3,807;-2,315;1,336;-3,111
"provocar";-0,593;-3,092;-0,025;6,805
"preventivo";-5,561;-2,574;0,895;10,42
"presidência";2,723;1,25;-0,82;-4,155
"presidencial";0,085;0,574;-0,476;-0,165
"pobre";12,006;-3,092;-0,82;-1,889
"perigoso";-0,707;0,936;-0,322;0,285
"patrimônio";3,794;-2,833;2,368;-3,806
"passivo";-3,394;-0,033;21,706;-3,806
"passado";-0,027;10,728;-0,82;-4,155
"paraná";3,934;-0,161;-0,08;-2,417
"nunes";9,069;-1,283;-1,133;-1,724
"motivo";-3,919;0,159;8,009;-0,505
"min";5,982;-0,051;-1,36;-2,07
"matar";-6,681;-3,092;-0,82;27,711
"marinho";-3,394;-2,833;-2,501;24,808
"lavagem";-6,681;-0,103;33,853;-4,155
"junto";3,794;0,324;-0,642;-3,806
"jovem";5,19;-2,574;0,016;-1,283
"ideia";12,006;-3,092;-2,73;-0,505
"golpe";8,646;-0,668;-2,273;-1,283
"frota";-5,561;-2,574;-2,273;29,25
"fechado";-2,367;0,019;8,293;-0,996
